"LOG:concept:name","LOG:lifecycle:model","LOG:source","LOG:Calculation Time (ms)","LOG:Num. States","LOG:Trace Fitness","LOG:Title of Visualization","LOG:Exit code of alignment for trace","LOG:Model move cost empty trace","LOG:Number of LPs solved","LOG:Queued States","LOG:Raw Fitness Cost","LOG:Move-Model Fitness","LOG:Pre-processing time (ms)","LOG:Move-Log Fitness","LOG:Trace Length","LOG:Approximate memory used (kb)","TRACE:concept:name","TRACE:LogType","TRACEAL:Raw Fitness Cost","TRACEAL:Calculation Time (ms)","TRACEAL:Num. States","TRACEAL:Move-Model Fitness","TRACEAL:Trace Fitness","TRACEAL:Pre-processing time (ms)","TRACEAL:Move-Log Fitness","TRACEAL:Trace Length","TRACEAL:Exit code of alignment for trace","TRACEAL:Approximate memory used (kb)","TRACEAL:Number of LPs solved","TRACEAL:Queued States","EVT:concept:name","EVT:time:timestamp","EVT:lifecycle:transition","EVT:elementId","EVT:processId","EVTAL:Transition","EVTAL:TransitionID","EVTAL:TransEvClass","EVTAL:Cost","EVTAL:Marking","EVTAL:ParikhVector","EVTAL:ActivityInstance",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do theoretical lectures","2022-12-23T15:14:47.192+01:00","complete","Activity_1ijhrv3","Process_1pgml2g","do theoretical lectures","node 593592af-e89a-4ea2-b592-f55c1ee3d249","do theoretical lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,4) (do theoretical lectures,4) (evaluate results,4) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,4) (test terminated,4)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do lab lectures","2022-12-23T15:14:50.192+01:00","complete","Activity_0iyipuc","Process_1pgml2g","do lab lectures","node e8f8bdbe-da7b-40b4-87a0-bff88b965f1b","do lab lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,4) (do theoretical lectures,3) (evaluate results,4) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,4) (test terminated,4)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","submit intermediate test","2022-12-23T15:14:53.192+01:00","complete","Activity_1vwi4lq","Process_1pgml2g","submit intermediate test","node f36122f4-c5d8-4229-baeb-5bd0f05c5616","submit intermediate test","0","[(,1)]","[(Course terminated,1) (do lab lectures,3) (do theoretical lectures,3) (evaluate results,4) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,4) (test terminated,4)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","test terminated","2022-12-23T15:14:54.192+01:00","complete","Event_0ygo8qn","Process_1pgml2g","test terminated","node 95365ff1-b34b-4935-956c-fd46da3e5004","test terminated","0","[(,1)]","[(Course terminated,1) (do lab lectures,3) (do theoretical lectures,3) (evaluate results,4) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,3) (test terminated,4)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","evaluate results","2022-12-23T15:14:58.675+01:00","complete","Activity_0ct8zpo","Process_1pgml2g","evaluate results","node 80d30cc1-bd75-4191-878e-561a440217da","evaluate results","0","[(,1)]","[(Course terminated,1) (do lab lectures,3) (do theoretical lectures,3) (evaluate results,4) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,3) (test terminated,3)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do theoretical lectures","2022-12-23T15:15:03.016+01:00","complete","Activity_1ijhrv3","Process_1pgml2g","do theoretical lectures","node 593592af-e89a-4ea2-b592-f55c1ee3d249","do theoretical lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,3) (do theoretical lectures,3) (evaluate results,3) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,3) (test terminated,3)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do lab lectures","2022-12-23T15:15:06.016+01:00","complete","Activity_0iyipuc","Process_1pgml2g","do lab lectures","node e8f8bdbe-da7b-40b4-87a0-bff88b965f1b","do lab lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,3) (do theoretical lectures,2) (evaluate results,3) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,3) (test terminated,3)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","submit intermediate test","2022-12-23T15:15:09.016+01:00","complete","Activity_1vwi4lq","Process_1pgml2g","submit intermediate test","node f36122f4-c5d8-4229-baeb-5bd0f05c5616","submit intermediate test","0","[(,1)]","[(Course terminated,1) (do lab lectures,2) (do theoretical lectures,2) (evaluate results,3) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,3) (test terminated,3)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","test terminated","2022-12-23T15:15:10.016+01:00","complete","Event_0ygo8qn","Process_1pgml2g","test terminated","node 95365ff1-b34b-4935-956c-fd46da3e5004","test terminated","0","[(,1)]","[(Course terminated,1) (do lab lectures,2) (do theoretical lectures,2) (evaluate results,3) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,2) (test terminated,3)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","evaluate results","2022-12-23T15:15:14.267+01:00","complete","Activity_0ct8zpo","Process_1pgml2g","evaluate results","node 80d30cc1-bd75-4191-878e-561a440217da","evaluate results","0","[(,1)]","[(Course terminated,1) (do lab lectures,2) (do theoretical lectures,2) (evaluate results,3) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,2) (test terminated,2)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do theoretical lectures","2022-12-23T15:15:21.377+01:00","complete","Activity_1ijhrv3","Process_1pgml2g","do theoretical lectures","node 593592af-e89a-4ea2-b592-f55c1ee3d249","do theoretical lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,2) (do theoretical lectures,2) (evaluate results,2) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,2) (test terminated,2)]","null",
"Filtered log","standard","com.qbpsimulator","32.948180000000015","516.38","0.9960655737704918","Alignments of Filtered log on Unlabeled net","1.0","18.0","3.32","516.38","0.24","0.9972093023255814","0.40608000000000005","0.9972093023255814","59.13999999999999","46.72","47","MXML.EnactmentLog","2.0","30.413","435.0","0.9767441860465116","0.9672131147540983","0.304","0.9767441860465116","43.0","1.0","42.0","4.0","435.0","do lab lectures","2022-12-23T15:15:24.377+01:00","complete","Activity_0iyipuc","Process_1pgml2g","do lab lectures","node e8f8bdbe-da7b-40b4-87a0-bff88b965f1b","do lab lectures","0","[(,1)]","[(Course terminated,1) (do lab lectures,2) (do theoretical lectures,1) (evaluate results,2) (feedback received,1) (final evaluation,1) (gather feedback,1) (submit intermediate test,2) (test terminated,2)]","null",
